run,file_name,file_size,file_id,status,upload_time,completed_time,latency_sec,http_status
1,test-1.bin,10485760,8d94f5bf-f191-43c9-b92c-080e935a4245,approved,2026-05-22T14:42:54.669Z,2026-05-22T16:43:04.900682046+02:00,10.232,201
2,test-1.bin,10485760,5ebe6722-d1d4-4959-b1bd-beb3426af688,approved,2026-05-22T14:43:31.928Z,2026-05-22T16:43:41.455245525+02:00,9.527,201
3,test-1.bin,10485760,a6e76efc-ab43-4aee-bf63-f8d37cb33eee,approved,2026-05-22T14:43:59.425Z,2026-05-22T16:44:09.520827552+02:00,10.096,201
4,test-1.bin,10485760,136aed38-70d9-45c3-8ed9-b866cba021a0,approved,2026-05-22T14:44:22.436Z,2026-05-22T16:44:25.330956000+02:00,2.895,201
5,test-1.bin,10485760,0302ec99-a6ff-4bd4-ac0a-31bd88a2b5ed,approved,2026-05-22T14:44:47.515Z,2026-05-22T16:44:57.574658469+02:00,10.060,201
6,test-1.bin,10485760,5a92751a-1e71-455a-81ae-76c5133a78bd,approved,2026-05-22T14:45:12.048Z,2026-05-22T16:45:19.493347677+02:00,7.445,201
7,test-1.bin,10485760,96fae89c-154d-4837-880a-178bbc86e849,approved,2026-05-22T14:46:08.394Z,2026-05-22T16:46:17.290172672+02:00,8.896,201
8,test-1.bin,10485760,d948f5d0-c689-4178-ae18-578a7cd80b27,approved,2026-05-22T14:46:31.010Z,2026-05-22T16:46:40.888537224+02:00,9.879,201
9,test-1.bin,10485760,8cb4478d-7dc5-4e40-8991-f1a149ed4335,approved,2026-05-22T14:47:05.726Z,2026-05-22T16:47:15.565718174+02:00,9.840,201
10,test-1.bin,10485760,65eff1b0-acef-41dd-936b-d451bd8b087c,approved,2026-05-22T14:47:38.294Z,2026-05-22T16:47:45.680584639+02:00,7.387,201
