run,file_name,file_size,file_id,status,upload_time,completed_time,latency_sec,http_status
1,test-10mb.bin,10485760,3fa19927-0147-4297-97ef-e96fa60c1688,approved,2026-05-22T14:57:51.823Z,2026-05-22T16:58:02.259529706+02:00,10.437,201
2,test-10mb.bin,10485760,3f1e32b2-1b52-4ab6-8136-f8fa5b1a5d52,approved,2026-05-22T14:57:51.429Z,2026-05-22T16:57:57.977212903+02:00,6.548,201
3,test-10mb.bin,10485760,12a29ef4-94d0-4e06-898a-658412a09e4f,approved,2026-05-22T14:57:51.824Z,2026-05-22T16:57:58.759907580+02:00,6.936,201
4,test-10mb.bin,10485760,2c1a0803-caf2-4853-971c-31433999cf1e,approved,2026-05-22T14:57:51.823Z,2026-05-22T16:57:58.441869356+02:00,6.619,201
5,test-10mb.bin,10485760,399b1732-32d1-4687-bc89-cd3f09cabf93,approved,2026-05-22T14:57:51.379Z,2026-05-22T16:57:57.583572899+02:00,6.205,201
6,test-10mb.bin,10485760,16e04a63-d6cf-4376-b2e0-22d8887e4269,approved,2026-05-22T14:57:51.824Z,2026-05-22T16:58:00.795775284+02:00,8.972,201
7,test-10mb.bin,10485760,03af5fae-9a53-43b0-89f0-737e38eb376b,approved,2026-05-22T14:57:50.741Z,2026-05-22T16:57:57.108958466+02:00,6.368,201
8,test-10mb.bin,10485760,64cb9575-c083-4e4d-a7b2-b54baf394c0a,approved,2026-05-22T14:57:51.824Z,2026-05-22T16:57:59.803320108+02:00,7.979,201
9,test-10mb.bin,10485760,c849cd7a-b1cf-43ad-ad8a-accaebe328a6,approved,2026-05-22T14:57:51.833Z,2026-05-22T16:57:59.301614522+02:00,7.469,201
10,test-10mb.bin,10485760,4abfb79c-a8e9-4fd8-9d51-3549b170b94f,approved,2026-05-22T14:57:51.827Z,2026-05-22T16:58:01.707672208+02:00,9.881,201
